Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,3,683.1999999999534,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,866,411,397.8087581473094,-84.24799111791742,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,4,934.0,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1034,557,397.8087581473093,-90.71577878279824,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,5,771.7000000001863,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,899,388,397.8087581473094,-90.64245768725606,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,6,762.8999999999069,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,1005,587,397.8087581473094,-80.56800252337891,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,7,1052.3000000000466,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,958,369,397.8087581473094,-92.35954101240128,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,8,913.0,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,938,588,397.8087581473094,-88.40437907365468,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,9,831.8999999999069,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,993,371,397.8087581473094,-87.87057379851828,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,10,781.9000000001397,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,893,583,397.8087581473094,-75.27397820628174,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,11,1164.2999999998135,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1026,400,397.8087581473095,-97.41173535829309,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,12,702.6000000000931,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,864,538,397.8087581473093,-87.0800741431138,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,13,672.0,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1058,432,397.8087581473093,-91.28388950277969,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,14,723.1000000000931,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,857,489,397.8087581473094,-97.39186245994192,1
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,15,1091.8999999999069,764.3704798532389,519.0823381635519,1160.0,477.5,1082,479,397.8087581473093,-77.72950053362679,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,1,482.39999999990687,1160.0,477.5,764.3704798532389,435.9176618364481,875,450,397.8087581473093,-111.49548522749096,1
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,2,871.6999999999534,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1063,527,397.8087581473095,-85.64921667369403,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,3,481.80000000004657,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,876,413,397.8087581473094,-93.90824515576178,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,4,472.19999999995343,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1033,555,397.8087581473093,-92.79718482099332,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,5,513.3000000000466,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,909,396,397.8087581473094,-102.99244616518035,1
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,6,540.5,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,998,584,397.8087581473094,-86.15579539783728,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,7,582.1000000000931,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,945,369,397.8087581473094,-89.65668903177043,0
