Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Mean Completion Time (ms),Error (%),SDx,We,IDe,Ae,Throughput (bps)
P2,S5,C2,Non-Dominant,Touchpad,Expert,400,50,15,0,1145.0666666666666,6.666666666666667,6.405701122102884,26.47476273765122,3.849692758700144,355.2102182966529,3.361981333284941
P3,S0,C1,Dominant,Mouse,Intermediate,400,50,15,0,1036.906666660309,6.666666666666667,10.349052962167915,42.77263589264,3.143479221640387,335.18885309469084,3.031593221176764
P3,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,800.1133333206177,0.0,8.536273563954687,35.280418639824724,3.378531865448171,331.6410833877868,4.2225666349373805
P3,S1,C1,Dominant,Mouse,Intermediate,400,50,15,0,884.7733333269755,0.0,8.071795419267346,33.36073046783194,3.452269778270067,331.79011268006525,3.901869154768311
P3,S1,C2,Dominant,Mouse,Intermediate,400,50,15,0,790.2533333142599,6.666666666666667,9.668379443048725,39.95941223812038,3.2325611910642698,335.6331408731055,4.090537875376197
P3,S2,C1,Dominant,Mouse,Intermediate,400,50,15,0,877.993333307902,13.333333333333334,9.553771894199611,39.48573923872699,3.2571916640328005,338.0453018114698,3.709813663118717
P3,S2,C2,Dominant,Mouse,Intermediate,400,50,15,0,956.35333331426,6.666666666666667,7.040112368432351,29.096784418730905,3.6550903000116537,337.4562453028086,3.8219036549440064
P3,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,795.206666692098,6.666666666666667,11.063603921792424,45.72587500876809,3.065023978086696,336.94567871499294,3.854374097285411
P3,S3,C2,Dominant,Mouse,Intermediate,400,50,15,0,803.6133333206177,0.0,7.220710797954031,29.843197727944013,3.619279448643828,336.89574878493283,4.503757340223029
P3,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,806.6733333269755,20.0,70.21080767644999,290.1812681267678,1.0657372711246471,317.23757511202814,1.321150987760077
P3,S4,C2,Dominant,Mouse,Intermediate,400,50,15,0,772.4666666666667,13.333333333333334,10.577505541826328,43.71683040436822,3.1264872205338547,338.06486415452457,4.047407293346666
P3,S5,C1,Dominant,Mouse,Intermediate,400,50,15,0,838.0066666603088,20.0,9.613538875847247,39.73275617387668,3.23458935538259,334.25476536366955,3.859861125297887
P3,S5,C2,Dominant,Mouse,Intermediate,400,50,15,0,793.4399999936421,0.0,7.559984853208292,31.245417398309872,3.547849786928977,334.17729477787145,4.471478356217743
P4,S0,C1,Dominant,Mouse,Okayish,400,50,15,0,1052.9599999984105,26.666666666666668,61.74847748648108,255.2064574516263,1.2007711985890517,331.4175167353481,1.140376841086902
P4,S0,C2,Non-Dominant,Mouse,Okayish,400,50,15,0,1048.1733333349227,26.666666666666668,79.69074414802036,329.36184556376816,1.0032610481749549,330.8524996948242,0.957151852912464
P4,S1,C1,Dominant,Mouse,Okayish,400,50,15,0,962.5666666666668,26.666666666666668,15.985192199858854,66.06679936201664,2.6564925364002443,350.4832635770356,2.759801090556752
P4,S1,C2,Non-Dominant,Mouse,Okayish,400,50,15,0,1120.6733333269756,6.666666666666667,8.122019323185366,33.56830586272512,3.5559889594198366,361.2422582076491,3.173082515368746
P4,S2,C1,Dominant,Mouse,Okayish,400,50,15,0,1021.593333331744,40.0,19.50037380365402,80.59504493050207,2.4204468904841376,350.85990780461964,2.3692861058424133
P4,S2,C2,Non-Dominant,Mouse,Okayish,400,50,15,0,1104.8066666682562,13.333333333333334,112.2156670322452,463.78735184426944,0.7516787871701021,317.1150573013019,0.6803713354092306
P4,S3,C1,Dominant,Mouse,Okayish,400,50,15,0,920.7733333349228,46.66666666666666,39.79242568848317,164.46209537050095,1.6143454123531669,339.0758595063881,1.75324952831357
P4,S3,C2,Non-Dominant,Mouse,Okayish,400,50,15,0,1155.9933333317438,6.666666666666667,13.783486289285737,56.96714883361794,2.855539669078312,355.34637331189094,2.4702042708570167
P4,S4,C1,Dominant,Mouse,Okayish,400,50,15,0,947.386666671435,13.333333333333334,15.030085124376887,62.11934181904968,2.724444080315238,348.43082717099304,2.8757467000114616
P4,S4,C2,Non-Dominant,Mouse,Okayish,400,50,15,0,1057.8333333333333,13.333333333333334,16.717838042677922,69.09482463038785,2.6094121742285066,352.55978682181484,2.4667517008619884
P4,S5,C1,Dominant,Mouse,Okayish,400,50,15,0,832.9200000047683,6.666666666666667,8.711090491857785,36.00293700284823,3.455186181644384,358.8656737877464,4.1482809653083175
P4,S5,C2,Non-Dominant,Mouse,Okayish,400,50,15,0,1274.8266666650773,6.666666666666667,15.864439055165509,65.56772661499905,2.669288919977165,351.5187972430168,2.093844590621857
