Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Mean Completion Time (ms),Error (%),SDx,We,IDe,Ae,Throughput (bps)
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,597.326666666676,6.666666666666667,4.728062914881603,19.541084027205663,4.082661020103645,311.55350356789165,6.834888257854854
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,846.373333333324,13.333333333333334,7.714849076045623,31.88547123129656,3.423208603197084,310.15800433526687,4.044561032795364
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,539.8799999999969,40.0,12.436962309124894,51.40196522361319,2.8271770689470848,313.38963051481187,5.236676796597578
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,830.5866666666698,13.333333333333334,10.497572274479433,43.3864662104235,3.0172943600376416,307.89107706218505,3.632726699245871
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,552.6133333333303,13.333333333333334,6.428814686863563,26.570291100807108,3.639471159348585,304.5503847484797,6.585927157051231
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,817.726666666676,26.666666666666668,9.249104933113534,38.22655068855824,3.1670188104780896,305.12006478323417,3.872955279039516
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,426.73333333333335,26.666666666666668,10.434322903992662,43.12505656220167,3.015490994062334,305.59981144466576,7.066452884070459
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,729.7800000000124,13.333333333333334,8.285442327937574,34.24373314136599,3.320022709570467,307.741635543928,4.549347350667888
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,492.80666666667287,0.0,5.740058623164028,23.72366228953693,3.8060089619084314,308.0978928951177,7.723127991859653
P0,S4,C2,Dominant,Mouse,God,400,50,15,0,759.7399999999907,33.33333333333333,12.84368849529263,53.08296455104444,2.751024374077621,304.26887702282136,3.6210076790450088
P0,S5,C1,Dominant,Mouse,God,400,50,15,0,412.19333333332713,26.666666666666668,9.216584491125294,38.09214370182084,3.1736804297863386,305.6307189057437,7.6994948077432595
P1,S0,C1,Dominant,Mouse,Expert,400,50,15,0,905.7800000031788,0.0,7.6645166145268435,31.677447167839443,3.6197241650063687,357.7223535827941,3.9962509273705153
